Light_Intensity,Temperature,PIR,Minute_Of_Day,Room_Occupancy_Count,LED_On
34.75,25.3,0,682,0,0
0.0,25.1275,0,347,0,0
83.5,26.0175,0,1051,2,1
85.0,26.0,0,1038,2,1
0.0,25.4675,0,1386,0,0
80.0,26.1875,0,1166,2,1
51.75,26.14,1,960,1,1
51.5,26.14,1,960,1,1
0.0,24.985,0,397,0,0
79.0,26.2025,0,1134,2,1
144.0,26.33,1,1109,3,0
0.0,25.1725,0,337,0,0
82.25,26.0175,1,1036,2,1
0.0,25.409999999999997,0,1415,0,0
50.5,26.17,0,964,1,1
19.0,25.845,1,970,3,1
29.75,25.205,0,648,0,0
0.0,25.6125,0,1146,0,0
0.0,25.455,0,1283,0,0
0.0,25.279999999999998,0,212,0,0
0.0,25.3625,0,27,0,0
0.0,25.439999999999998,0,1296,0,0
94.75,25.985,1,1075,2,1
0.0,25.25,0,204,0,0
86.5,25.97,1,1014,2,1
0.0,25.72,0,1270,0,0
0.0,25.235,0,222,0,0
91.5,26.0475,1,1000,2,1
67.75,25.2175,0,684,1,1
65.0,25.9375,0,942,1,1
64.0,25.9375,0,948,1,1
46.25,26.1875,1,979,1,1
3.0,25.564999999999998,0,1032,0,0
95.75,25.955000000000002,1,1072,2,1
0.0,25.455,0,1288,0,0
82.0,26.03,1,1036,2,1
32.0,25.6275,0,921,0,0
0.0,25.02,0,338,0,0
70.25,25.4225,0,727,1,1
0.0,25.080000000000002,0,229,0,0
58.0,26.14,1,938,1,1
0.0,25.39,0,1392,0,0
15.5,24.985,0,511,0,0
26.5,25.7825,1,946,3,1
66.75,25.4075,0,722,1,1
192.25,26.4075,1,836,3,0
20.0,25.0475,0,578,0,0
86.0,25.987499999999997,0,1025,2,1
19.75,25.83,1,969,3,1
142.75,26.2825,1,1079,3,0
16.0,24.9975,0,533,0,0
66.0,25.9075,0,943,1,1
25.25,25.7975,1,948,3,1
91.5,25.939999999999998,0,996,2,1
68.5,25.377499999999998,1,717,1,1
87.0,25.97,0,1020,2,1
70.5,25.4375,1,730,1,1
73.25,25.565,1,767,1,1
17.5,25.815,0,965,3,1
70.0,25.4375,1,731,1,1
47.5,26.127499999999998,0,880,0,0
62.5,25.9675,1,950,1,1
8.25,25.0175,0,464,0,0
20.25,25.6275,0,959,0,0
4.0,24.985,0,442,0,0
0.0,25.035,0,268,0,0
65.75,25.1875,0,682,1,1
87.75,25.987499999999997,1,1015,2,1
80.25,26.1275,0,1184,2,1
87.0,25.97,1,1009,2,1
79.75,26.1725,0,1153,2,1
81.5,26.015,1,1040,2,1
22.0,25.0625,0,597,0,0
17.25,24.9975,0,550,0,0
87.5,25.987499999999997,0,1016,2,1
16.25,24.9975,0,539,0,0
10.5,25.5975,0,997,0,0
10.0,25.875,1,1010,3,1
84.75,26.0,1,1035,2,1
0.0,25.909999999999997,0,1223,0,0
69.25,25.3425,0,712,1,1
0.0,25.3775,0,45,0,0
30.0,25.5975,0,924,0,0
0.0,25.25,0,207,0,0
44.0,26.17,0,993,1,1
0.0,25.279999999999998,0,152,0,0
23.0,25.752499999999998,1,943,3,1
90.5,26.0,0,1002,2,1
70.25,25.55,0,760,1,1
54.5,26.14,1,949,1,1
0.0,25.205,0,265,0,0
80.0,26.1575,0,1171,2,1
0.0,25.035,0,342,0,0
0.0,25.7975,0,1251,0,0
0.0,25.4225,0,1312,0,0
88.0,25.97,1,1013,2,1
26.5,25.735,1,939,3,1
80.0,26.1575,0,1173,2,1
0.0,25.314999999999998,0,1308,0,0
79.75,26.1875,0,1151,2,1
0.0,25.1875,0,285,0,0
59.75,25.905,0,956,1,1
0.0,25.4225,0,1383,0,0
65.25,25.94,0,937,1,1
10.0,25.8925,1,1011,3,1
0.0,25.05,0,231,0,0
88.0,25.97,0,1007,2,1
95.5,26.0,0,1065,2,1
57.5,26.125,0,942,1,1
14.0,24.967499999999998,0,495,0,0
51.0,25.9225,0,983,1,1
40.0,25.3925,0,768,0,0
0.0,25.455,0,1287,0,0
64.75,25.015,1,656,1,1
7.0,25.875,0,1017,3,1
69.25,25.47,0,738,1,1
72.5,25.565,0,764,1,1
26.0,25.1575,0,624,0,0
84.75,26.0,0,1036,2,1
0.0,25.47,0,1204,0,0
12.75,25.8425,0,991,3,1
0.0,25.31,0,99,0,0
0.0,25.080000000000002,0,190,0,0
17.5,25.845,1,981,3,1
95.0,25.985,1,1073,2,1
19.5,25.8425,1,962,3,1
88.0,25.97,0,1006,2,1
56.5,26.0925,0,928,1,1
7.25,25.89,1,1017,3,1
0.0,25.8425,0,1235,0,0
0.0,25.22,0,301,0,0
81.75,26.0475,1,1052,2,1
0.0,25.485,0,1389,0,0
84.25,25.985,1,1020,2,1
0.0,25.3475,0,103,0,0
144.25,26.5625,1,1130,3,0
79.75,26.1575,0,1166,2,1
6.25,25.0325,0,453,0,0
57.0,26.1075,1,931,1,1
0.0,25.924999999999997,0,1216,0,0
84.75,25.985,0,1017,2,1
73.25,25.565,0,766,1,1
85.0,26.017500000000002,1,1036,2,1
0.0,25.235,0,1379,0,0
0.0,25.25,0,192,0,0
134.75,26.267500000000002,1,739,2,0
56.0,26.125,1,948,1,1
38.0,25.6125,0,904,0,0
0.0,25.002499999999998,0,359,0,0
0.0,25.11,0,118,0,0
95.75,26.0,1,1063,2,1
10.25,25.875,1,1008,3,1
85.25,26.0175,0,1028,2,1
0.0,25.2025,0,330,0,0
18.0,25.845,1,976,3,1
0.0,25.0325,0,344,0,0
20.75,25.6125,0,957,0,0
63.75,25.9375,0,948,1,1
81.25,26.015,1,1041,2,1
0.0,25.455,0,1341,0,0
86.75,25.97,1,1010,2,1
26.5,25.6725,1,934,3,1
80.5,26.1575,1,1190,2,1
0.0,25.095000000000002,0,198,0,0
39.5,25.3925,0,771,0,0
0.0,25.9725,0,1218,0,0
65.5,25.9225,0,945,1,1
0.0,25.517500000000002,0,1139,0,0
0.0,25.345,0,94,0,0
0.0,25.4075,0,1397,0,0
70.25,25.535,1,752,1,1
79.25,26.205,1,1131,2,1
0.0,25.157500000000002,0,253,0,0
18.5,25.0325,0,567,0,0
0.5,24.9825,0,412,0,0
8.75,25.9075,0,1014,3,1
86.25,25.97,0,1016,2,1
70.0,25.455,0,730,1,1
0.0,25.1425,0,256,0,0
192.25,26.4075,0,839,3,0
0.0,25.279999999999998,0,136,0,0
176.75,26.439999999999998,1,792,3,0
23.0,25.752499999999998,1,944,3,1
0.0,26.595,1,1176,3,1
0.0,25.4525,0,1392,0,0
0.0,25.095,0,90,0,0
17.25,25.815,1,968,3,1
47.5,26.065,0,888,0,0
47.75,26.0775,0,881,0,0
78.5,26.2025,0,1133,2,1
80.0,26.1575,0,1170,2,1
0.0,25.205,0,1421,0,0
0.0,25.3475,0,96,0,0
14.75,24.97,0,497,0,0
0.0,25.1125,0,392,0,0
144.0,26.36,0,1125,3,0
49.0,26.14,1,971,1,1
28.75,25.612499999999997,0,931,3,1
0.0,25.75,0,1274,0,0
0.0,25.5,0,1188,0,0
0.0,25.439999999999998,0,1379,0,0
0.0,25.1875,0,330,0,0
41.5,25.4375,0,792,0,0
128.5,25.3925,1,699,2,0
0.0,25.25,0,163,0,0
66.0,25.1875,1,681,1,1
81.0,26.0,1,1044,2,1
19.5,25.845,1,959,3,1
13.75,24.985,0,492,0,0
0.0,25.33,0,118,0,0
14.25,24.9825,0,496,0,0
12.0,25.875,1,1005,3,1
47.75,26.185,0,974,1,1
89.5,25.955,1,1005,2,1
0.0,25.515,0,1173,0,0
192.25,26.345,1,825,3,0
44.0,26.17,1,997,1,1
80.5,26.015,1,1049,2,1
0.0,25.612499999999997,0,1300,0,0
65.25,25.05,0,661,1,1
0.0,25.375,0,1264,0,0
49.5,25.939999999999998,1,988,1,1
66.5,25.125,0,674,1,1
53.75,25.9375,0,975,1,1
81.0,26.015,1,1045,2,1
73.75,25.55,1,757,1,1
94.5,25.985,1,1076,2,1
0.0,25.5325,0,1064,0,0
96.0,26.0,0,1066,2,1
69.25,25.4525,1,734,1,1
68.75,25.2025,1,685,1,1
190.75,26.409999999999997,1,842,3,0
41.5,25.4075,0,774,0,0
40.0,26.235,0,855,0,0
35.5,25.314999999999998,0,708,0,0
0.0,25.095000000000002,0,197,0,0
136.5,26.2975,1,844,2,0
0.0,25.08,0,377,0,0
54.0,26.125,1,953,1,1
80.25,26.1275,0,1184,2,1
0.0,25.455,0,1227,0,0
69.0,25.485,1,738,1,1
85.25,26.0,1,1018,2,1
72.25,25.55,1,764,1,1
0.0,25.4225,0,1386,0,0
10.0,25.89,1,1010,3,1
33.5,25.6125,0,916,0,0
65.0,25.035,0,659,1,1
71.5,25.565,1,762,1,1
12.0,25.5975,0,993,0,0
56.0,26.1425,1,946,1,1
1.5,24.952499999999997,0,428,0,0
18.0,25.5975,0,968,0,0
40.5,25.4075,0,757,0,0
69.75,25.4225,1,724,1,1
0.0,25.064999999999998,0,321,0,0
87.75,25.9525,1,1014,2,1
78.75,26.22,0,1135,2,1
96.25,25.9875,1,1059,2,1
0.0,25.3475,0,138,0,0
83.25,26.0175,1,1026,2,1
57.25,26.11,0,935,1,1
79.75,26.1725,0,1159,2,1
0.0,25.002499999999998,0,381,0,0
0.0,25.735,0,1273,0,0
0.0,25.532500000000002,0,1115,0,0
65.25,25.05,1,662,1,1
138.75,26.1875,1,832,2,0
69.25,25.94,1,926,1,1
0.0,25.095,0,144,0,0
65.0,25.080000000000002,1,666,1,1
16.5,25.015,0,518,0,0
145.0,26.22,1,1110,3,0
0.0,25.8425,0,1236,0,0
87.25,25.987499999999997,1,1017,2,1
55.75,25.9375,0,970,1,1
85.5,25.905,1,991,2,1
0.0,25.735,0,1260,0,0
26.75,25.6125,0,936,0,0
68.5,25.485,0,737,1,1
93.0,26.0,1,1076,2,1
81.0,26.03,0,1044,2,1
0.0,25.2025,0,305,0,0
53.5,26.14,1,954,1,1
35.25,25.2975,0,702,0,0
50.0,25.9375,1,985,1,1
30.5,25.2525,0,669,0,0
71.5,25.47,1,740,1,1
20.75,25.642500000000002,0,956,0,0
90.5,25.955,1,999,2,1
46.25,26.185,0,978,1,1
0.0,25.7975,0,1245,0,0
67.5,25.4075,0,722,1,1
0.0,25.689999999999998,0,1278,0,0
80.0,26.1875,1,1140,2,1
32.75,25.282500000000002,0,698,0,0
0.0,25.095,0,305,0,0
0.0,25.5,0,1178,0,0
65.5,25.1725,0,679,1,1
48.5,26.17,0,973,1,1
0.0,25.909999999999997,0,1219,0,0
18.5,25.845,1,973,3,1
65.25,25.2975,1,687,1,1
0.0,25.265,0,199,0,0
56.0,25.92,0,970,1,1
0.0,25.314999999999998,0,1328,0,0
48.5,26.155,1,972,1,1
70.25,25.55,0,754,1,1
26.0,25.705,1,937,3,1
0.0,25.4875,0,1219,0,0
0.0,25.17,0,45,0,0
79.75,26.1875,1,1160,2,1
17.75,24.982499999999998,0,556,0,0
83.5,26.0325,0,1048,2,1
44.75,26.185,1,988,1,1
66.25,25.127499999999998,0,672,1,1
10.0,24.919999999999998,0,471,0,0
96.5,26.002499999999998,1,1058,2,1
81.75,26.015,1,1038,2,1
20.5,25.0475,0,578,0,0
67.75,25.9225,0,925,1,1
95.75,25.9225,1,992,2,1
0.0,25.795,0,1096,0,0
80.0,26.1425,1,1171,2,1
0.0,25.2975,0,160,0,0
14.25,25.875,1,999,3,1
80.0,26.22,0,1147,2,1
72.5,25.55,1,758,1,1
0.0,25.1575,0,316,0,0
72.0,25.502499999999998,1,743,1,1
14.25,25.86,1,988,3,1
65.0,25.080000000000002,0,665,1,1
135.5,25.8475,1,801,2,0
0.0,25.095,0,181,0,0
0.0,25.3475,0,134,0,0
32.0,25.285,0,674,0,0
18.0,25.8275,1,979,3,1
0.0,25.299999999999997,0,1338,0,0
0.0,25.125,0,58,0,0
0.0,25.439999999999998,0,1340,0,0
0.0,25.264999999999997,0,211,0,0
80.0,26.189999999999998,0,1158,2,1
56.0,26.125,0,947,1,1
0.0,25.455,0,1250,0,0
67.5,25.375,1,718,1,1
65.5,25.0975,0,672,1,1
0.0,25.517500000000002,0,1112,0,0
80.0,26.1275,0,1174,2,1
55.0,25.92,0,973,1,1
81.0,26.03,1,1043,2,1
69.75,25.565,0,761,1,1
23.0,25.0325,0,596,0,0
67.75,25.4075,1,723,1,1
67.0,25.925,0,933,1,1
81.75,26.237499999999997,0,1126,2,1
16.5,25.0175,0,519,0,0
80.0,26.1725,0,1162,2,1
80.5,26.1575,1,1190,2,1
84.25,25.985,1,1021,2,1
0.0,25.7175,0,1114,0,0
50.75,26.2675,0,863,0,0
14.5,25.5975,0,980,0,0
0.0,25.05,0,259,0,0
68.75,25.4225,0,723,1,1
0.0,25.36,0,1428,0,0
0.0,25.095,0,133,0,0
87.0,25.9875,0,1019,2,1
51.5,25.9375,0,982,1,1
79.75,26.1725,1,1144,2,1
42.5,26.17,0,996,1,1
81.5,26.235,1,1122,2,1
0.0,25.2975,0,120,0,0
81.25,26.015,1,1041,2,1
0.0,25.155,0,26,0,0
80.5,26.1275,1,1189,2,1
87.0,25.97,0,1020,2,1
0.0,25.2975,0,1315,0,0
5.5,25.0325,0,448,0,0
0.0,25.8125,0,1248,0,0
81.0,26.015,1,1049,2,1
0.0,25.799999999999997,0,1259,0,0
57.0,26.11,0,932,1,1
88.75,25.9525,1,1008,2,1
10.5,24.92,0,475,0,0
53.5,25.92,0,976,1,1
46.5,26.202499999999997,1,981,1,1
44.25,26.155,0,990,1,1
80.0,26.1425,0,1176,2,1
0.0,25.3925,0,1405,0,0
0.0,25.1875,0,322,0,0
63.25,25.9525,0,949,1,1
10.0,25.8925,1,1009,3,1
1.25,25.049999999999997,0,419,0,0
72.25,25.485,1,744,1,1
0.0,25.25,0,1351,0,0
15.5,24.987499999999997,0,504,0,0
64.5,25.095000000000002,0,669,1,1
57.75,26.125,0,937,1,1
32.0,25.2375,0,683,0,0
44.0,26.1875,0,991,1,1
68.0,25.36,0,712,1,1
50.0,26.17,0,966,1,1
69.75,25.535,0,751,1,1
49.75,25.955,0,986,1,1
88.25,25.9525,0,1010,2,1
0.0,25.14,0,78,0,0
0.0,25.439999999999998,0,1376,0,0
141.75,25.9875,1,1051,2,0
81.5,26.0325,1,1053,2,1
40.0,26.2325,0,857,0,0
0.0,25.279999999999998,0,128,0,0
83.75,25.985,1,1024,2,1
90.25,25.97,1,1002,2,1
0.0,25.279999999999998,0,225,0,0
0.0,25.532500000000002,0,1071,0,0
66.0,25.2025,0,683,1,1
0.0,25.1275,0,385,0,0
87.0,25.97,0,1017,2,1
17.5,25.049999999999997,0,517,0,0
80.25,26.1425,0,1185,2,1
11.25,24.952499999999997,0,478,0,0
55.25,26.14,0,949,1,1
80.0,26.1725,1,1164,2,1
0.0,25.5025,0,1249,0,0
42.25,25.485,0,821,0,0
17.25,25.8125,1,967,3,1
95.5,25.985,1,1067,2,1
24.25,25.86,1,952,3,1
0.0,25.6425,0,1126,0,0
25.0,25.145,0,626,0,0
139.75,25.9225,1,823,2,0
0.5,24.967499999999998,0,418,0,0
0.0,24.985,0,404,0,0
47.5,26.1875,0,974,1,1
87.25,25.985,1,1010,2,1
0.0,25.3125,0,146,0,0
0.0,25.345,0,1427,0,0
0.0,25.1125,0,266,0,0
80.0,26.1575,0,1173,2,1
0.0,25.392500000000002,0,8,0,0
30.25,25.2375,0,668,0,0
79.5,26.189999999999998,0,1150,2,1
14.5,25.845,0,985,3,1
49.5,26.17,0,970,1,1
30.5,25.2825,0,693,0,0
16.25,25.065,0,534,0,0
70.75,25.4375,1,729,1,1
43.75,26.1875,0,994,1,1
0.0,25.065,0,243,0,0
0.0,25.02,0,338,0,0
0.0,25.1725,0,224,0,0
80.0,26.2025,0,1152,2,1
0.0,25.61,0,1300,0,0
14.25,25.8425,1,987,3,1
47.25,26.202499999999997,1,976,1,1
14.5,25.845,0,986,3,1
80.75,26.03,1,1051,2,1
45.5,26.202499999999997,0,984,1,1
0.0,25.1575,0,327,0,0
0.0,25.095,0,291,0,0
10.5,25.0325,0,472,0,0
0.0,25.265,0,138,0,0
68.0,25.36,0,718,1,1
69.5,25.502499999999998,1,746,1,1
12.5,24.935,0,485,0,0
82.0,26.0,0,1037,2,1
13.5,25.845,1,988,3,1
144.5,26.174999999999997,0,1090,3,0
26.75,25.189999999999998,0,643,0,0
59.0,25.92,1,959,1,1
40.25,25.3425,0,739,0,0
62.0,24.9225,0,650,1,1
0.0,25.142500000000002,0,247,0,0
68.25,25.36,1,716,1,1
0.0,25.4075,0,5,0,0
84.0,26.0,1,1023,2,1
68.75,25.4375,1,735,1,1
0.0,25.2025,0,210,0,0
73.25,25.565,0,767,1,1
83.25,26.0,1,1027,2,1
86.0,25.97,0,1012,2,1
3.5,24.9525,0,435,0,0
9.5,25.8925,1,1011,3,1
83.5,26.0175,0,1051,2,1
0.0,25.4675,0,1397,0,0
71.5,25.55,0,755,1,1
83.25,25.985,1,1028,2,1
18.0,25.8275,0,977,3,1
85.75,25.985,1,1015,2,1
69.5,25.565,0,754,1,1
0.0,25.532500000000002,0,1127,0,0
0.0,25.47,0,1378,0,0
80.75,26.015,1,1046,2,1
0.0,24.985,0,380,0,0
85.75,26.0175,0,1029,2,1
70.5,25.565,0,760,1,1
0.0,25.142500000000002,0,261,0,0
17.25,25.0,0,535,0,0
0.0,25.3625,0,22,0,0
1.25,24.9675,0,418,0,0
14.25,25.0325,0,491,0,0
0.0,26.1575,0,1198,0,0
0.0,25.095,0,111,0,0
49.25,26.155,0,970,1,1
23.0,25.0925,0,604,0,0
17.75,25.0325,0,519,0,0
52.25,25.92,1,980,1,1
54.25,25.9375,0,974,1,1
0.0,25.5,0,1183,0,0
83.5,26.015,0,1046,2,1
15.0,24.9675,0,507,0,0
0.75,24.967499999999998,0,422,0,0
11.5,25.875,1,1006,3,1
0.0,25.532500000000002,0,1092,0,0
83.25,26.0,1,1027,2,1
191.25,26.39,1,824,3,0
0.0,25.7825,0,1255,0,0
95.75,25.985,1,1071,2,1
68.5,25.455,1,732,1,1
89.25,25.97,0,1001,2,1
88.75,25.97,0,1006,2,1
28.5,25.58,1,929,3,1
24.5,25.83,1,951,3,1
18.75,25.8275,1,961,3,1
50.0,26.14,0,966,1,1
67.75,25.3425,0,713,1,1
0.0,25.517500000000002,0,1153,0,0
0.0,25.1875,0,275,0,0
130.75,25.61,1,771,2,0
0.0,25.1575,0,223,0,0
65.0,25.0325,1,657,1,1
0.0,25.5175,0,1348,0,0
15.0,25.9225,1,1000,3,1
1.25,25.049999999999997,0,420,0,0
0.0,25.485,0,1347,0,0
43.5,26.17,0,993,1,1
81.5,26.22,0,1125,2,1
145.25,26.6725,1,1146,3,0
58.0,26.11,0,939,1,1
191.0,26.3425,1,829,3,0
49.75,25.939999999999998,0,989,1,1
16.0,25.002499999999998,0,512,0,0
144.5,26.6575,0,1139,3,0
0.0,25.22,0,179,0,0
0.0,25.2675,0,1342,0,0
12.75,25.875,1,1004,3,1
89.75,25.97,1,1005,2,1
140.25,25.8625,0,810,2,0
0.0,25.22,0,1393,0,0
0.0,25.424999999999997,0,1365,0,0
38.25,26.1725,0,879,0,0
0.0,25.909999999999997,0,1221,0,0
0.0,25.2675,0,171,0,0
65.5,25.1125,1,671,1,1
16.75,25.815,0,968,3,1
83.0,26.0,1,1028,2,1
27.0,25.6125,0,936,0,0
64.75,25.9225,0,938,1,1
6.75,25.9075,0,1018,3,1
0.5,25.064999999999998,0,411,0,0
0.0,25.4225,0,1377,0,0
64.0,25.9225,0,941,1,1
80.0,26.1425,0,1174,2,1
53.0,26.14,0,955,1,1
0.0,25.439999999999998,0,1322,0,0
0.0,25.142500000000002,0,227,0,0
16.0,25.6125,0,974,0,0
14.75,25.0,0,504,0,0
14.25,25.8425,1,982,3,1
0.0,25.279999999999998,0,182,0,0
44.0,25.502499999999998,0,830,0,0
0.0,25.5475,0,1089,0,0
78.75,26.2025,1,1132,2,1
83.25,26.015,0,1050,2,1
68.25,25.2175,1,686,1,1
25.25,25.7825,1,947,3,1
41.0,25.4525,0,810,0,0
0.0,25.1725,0,237,0,0
28.0,25.6425,0,932,3,1
56.0,26.125,0,947,1,1
191.0,26.4225,1,811,2,0
51.75,26.155,1,959,1,1
0.0,26.0475,0,1199,0,0
145.25,26.625,0,1137,3,0
0.0,25.11,0,110,0,0
95.0,25.985,1,1074,2,1
20.75,25.0325,0,587,0,0
0.0,24.9375,0,383,0,0
80.75,26.03,1,1047,2,1
12.25,25.845,1,993,3,1
69.25,25.505,1,750,1,1
24.5,25.8125,1,949,3,1
0.0,25.439999999999998,0,1308,0,0
2.25,25.0175,0,429,0,0
0.0,25.409999999999997,0,1429,0,0
80.75,26.0,1,1046,2,1
88.5,25.985,1,1003,2,1
0.0,25.3925,0,1428,0,0
80.75,26.1425,1,1189,2,1
0.0,25.157500000000002,0,236,0,0
50.25,26.174999999999997,0,872,0,0
95.5,26.0175,1,1068,2,1
136.5,25.72,0,782,2,0
58.25,25.9225,1,962,1,1
79.5,26.205,1,1137,2,1
0.0,25.3925,0,3,0,0
47.5,26.0775,0,886,0,0
14.5,25.8275,0,986,3,1
13.75,25.875,1,998,3,1
42.75,26.1875,0,995,1,1
45.25,26.17,0,986,1,1
0.0,25.58,0,1312,0,0
20.25,25.86,1,958,3,1
0.0,25.877499999999998,0,1233,0,0
14.25,25.875,1,998,3,1
5.25,24.952499999999997,0,449,0,0
14.25,24.97,0,492,0,0
0.0,25.674999999999997,0,1280,0,0
55.25,25.92,1,972,1,1
95.25,25.9875,1,1061,2,1
82.25,26.0325,1,1034,2,1
0.0,25.11,0,121,0,0
19.5,25.015,0,574,0,0
86.25,26.02,1,1024,2,1
88.5,25.97,1,1009,2,1
144.25,26.189999999999998,1,1099,3,0
0.0,25.36,0,1275,0,0
0.0,25.455,0,1356,0,0
0.0,25.095000000000002,0,173,0,0
0.0,25.3775,0,61,0,0
144.0,26.5625,0,1132,3,0
0.0,25.6425,0,1295,0,0
0.0,25.78,0,1242,0,0
65.5,25.1125,0,670,1,1
0.0,25.11,0,358,0,0
0.0,25.375,0,1259,0,0
24.5,25.86,1,955,3,1
87.75,25.987499999999997,1,1015,2,1
0.0,25.095000000000002,0,156,0,0
19.25,25.830000000000002,0,973,3,1
0.0,24.985,0,406,0,0
30.75,25.205,0,657,0,0
0.0,25.8125,0,1246,0,0
54.25,26.14,0,953,1,1
46.5,25.5825,0,872,0,0
82.75,26.0,0,1030,2,1
0.0,25.1575,0,297,0,0
70.25,25.4225,0,726,1,1
10.75,25.0175,0,475,0,0
87.75,25.97,1,1008,2,1
46.0,26.185,0,982,1,1
0.0,25.127499999999998,0,370,0,0
0.0,25.565,0,1334,0,0
92.75,25.9525,1,994,2,1
0.0,25.279999999999998,0,209,0,0
79.75,26.1875,1,1139,2,1
0.0,25.095,0,134,0,0
144.5,26.189999999999998,0,1091,3,0
65.5,25.125,0,679,1,1
86.0,26.002499999999998,0,1026,2,1
0.0,25.035,0,309,0,0
0.0,25.3125,0,151,0,0
0.0,25.0975,0,403,0,0
128.75,25.3925,1,700,2,0
70.75,25.4375,1,728,1,1
52.25,26.1725,1,959,1,1
80.0,26.1725,0,1167,2,1
0.0,25.395,0,53,0,0
0.0,25.97,0,1214,0,0
80.0,26.1725,0,1146,2,1
0.0,25.25,0,196,0,0
14.25,25.9075,1,1001,3,1
0.0,25.409999999999997,0,1419,0,0
14.5,25.845,0,985,3,1
64.75,25.9375,1,947,1,1
14.75,24.9675,0,505,0,0
79.0,26.22,0,1132,2,1
24.75,25.86,1,954,3,1
80.0,26.1725,0,1152,2,1
49.5,26.17,0,968,1,1
147.0,25.97,1,1027,3,0
50.75,26.14,0,963,1,1
69.0,25.925,1,928,1,1
0.0,25.862499999999997,0,1092,0,0
28.5,25.597499999999997,1,930,3,1
0.0,25.86,0,1236,0,0
67.5,25.467499999999998,1,737,1,1
0.0,24.985,0,382,0,0
0.0,25.8125,0,1237,0,0
67.5,25.925,0,930,1,1
0.0,25.705,0,1272,0,0
83.0,26.0325,0,1047,2,1
66.75,25.375,0,711,1,1
62.0,24.9375,1,652,1,1
0.0,25.424999999999997,0,1233,0,0
23.0,25.752499999999998,0,943,3,1
0.0,25.294999999999998,0,185,0,0
55.75,25.9375,1,971,1,1
0.0,25.065,0,195,0,0
57.25,26.1075,0,931,1,1
54.75,26.1725,0,951,1,1
0.0,25.627499999999998,0,1289,0,0
82.25,26.0475,1,1035,2,1
0.0,25.4225,0,1377,0,0
67.25,25.9425,0,931,1,1
16.0,24.9525,0,532,0,0
0.0,25.08,0,315,0,0
80.25,26.1575,1,1187,2,1
10.5,24.9525,0,477,0,0
0.0,25.3925,0,19,0,0
19.25,25.845,0,974,3,1
0.0,25.33,0,152,0,0
0.0,25.0325,0,332,0,0
0.0,25.8425,0,1231,0,0
6.5,24.952499999999997,0,462,0,0
0.0,25.517500000000002,0,1145,0,0
65.25,25.36,1,710,1,1
13.0,24.985,0,486,0,0
53.75,26.0925,1,926,1,1
0.0,25.205,0,1424,0,0
