Light_Intensity,Temperature,Humidity,Minute_Of_Day,LED_On
208.3,22.0,79.9,501,0
0.0,28.9,56.8,165,0
0.0,22.6,80.0,392,1
0.0,25.3,65.2,344,0
59.6,25.6,91.0,446,1
120.8,24.4,64.6,519,1
37.7,22.3,74.3,289,0
0.0,30.5,66.1,21,0
31.9,33.2,73.6,1109,1
73.9,23.7,87.0,548,1
149.3,26.2,78.8,704,0
7.0,31.9,62.8,1414,1
384.4,24.0,74.9,857,0
11.2,34.4,78.6,1301,1
16.6,29.7,61.0,1384,1
185.9,22.6,75.4,506,0
15.8,30.5,82.9,1196,1
117.9,32.5,66.3,965,1
151.5,32.9,93.2,991,0
37.0,32.8,71.6,1147,1
380.1,24.2,92.8,715,0
0.0,30.4,79.1,398,0
0.0,29.0,49.7,80,0
44.3,26.7,71.7,137,0
65.5,32.0,71.4,973,1
11.2,25.8,68.0,254,0
31.6,34.2,93.6,1001,1
0.0,29.1,60.8,1405,1
167.7,29.6,89.0,1012,0
110.4,33.1,72.3,1003,1
7.4,30.0,77.1,91,0
35.3,28.4,64.4,98,0
40.8,30.0,71.5,1287,1
0.0,29.2,65.6,1379,1
50.4,23.4,70.2,278,0
0.0,31.9,54.2,42,0
33.1,31.6,60.9,31,0
28.8,32.5,69.2,1092,1
3.2,26.8,54.9,74,0
10.6,31.4,70.6,1217,1
396.0,25.8,95.9,698,0
4.1,27.7,65.3,305,0
0.0,32.2,79.7,1374,1
0.0,27.2,66.8,190,0
0.0,29.6,62.7,1351,1
175.1,26.3,81.5,639,0
0.0,30.3,83.3,1399,0
185.1,27.2,83.0,992,0
0.0,23.4,75.4,339,0
0.0,32.2,70.2,1387,1
10.5,27.4,59.5,290,0
0.0,26.5,81.2,1174,0
33.8,28.9,58.7,64,0
29.8,22.6,64.8,334,0
24.0,32.7,64.2,1306,1
340.2,25.7,81.7,613,0
260.7,26.9,82.1,920,0
273.1,29.1,79.6,946,0
3.5,31.7,60.6,23,0
100.0,26.0,74.7,496,1
0.0,23.5,72.7,317,0
293.7,31.2,68.0,933,0
0.0,28.5,66.5,131,0
16.2,30.9,82.6,1155,1
0.0,26.8,70.4,183,1
8.0,33.1,80.9,1104,1
0.0,29.6,77.4,153,1
14.6,33.3,80.0,1107,1
20.1,30.5,67.8,1185,1
15.9,25.0,71.0,370,1
0.0,31.4,73.3,1152,1
58.7,24.4,70.1,510,1
0.0,29.0,85.2,59,1
51.3,27.3,77.6,444,1
19.7,24.5,87.0,398,1
20.5,30.6,76.3,1029,1
80.9,25.0,78.2,443,1
42.4,32.2,64.6,0,0
142.7,24.6,93.9,652,0
114.7,30.2,97.5,1044,1
0.0,33.2,54.6,1347,1
97.3,27.6,80.1,575,1
0.0,30.8,69.7,137,0
0.0,22.6,61.0,365,1
298.3,30.6,77.0,901,0
305.5,28.9,85.5,902,0
31.1,34.4,68.5,1185,0
87.3,33.7,80.2,967,1
17.6,24.3,69.3,90,1
0.0,30.0,60.8,47,0
244.2,28.1,74.4,918,0
380.1,23.7,76.8,709,0
22.5,24.2,52.1,245,0
0.0,25.1,74.3,253,0
0.0,30.9,65.0,1322,1
59.2,23.3,89.7,527,1
172.0,22.0,85.2,480,0
0.0,28.3,67.0,163,0
66.7,33.6,77.9,1109,1
319.8,27.9,68.2,945,0
53.9,25.8,84.9,918,1
0.0,28.2,64.7,173,0
0.0,34.0,66.7,1158,1
0.0,31.1,61.9,1388,1
72.9,30.4,73.2,1266,1
0.0,28.7,60.8,1425,1
18.8,31.4,63.1,36,0
0.0,30.4,69.9,1429,1
0.0,30.8,70.4,1180,1
170.0,23.3,85.1,652,0
219.6,30.4,79.2,966,0
101.7,24.4,86.4,428,1
77.0,27.1,69.3,183,0
11.8,23.2,59.3,324,0
27.7,22.1,84.0,468,1
65.5,30.6,67.2,1151,1
21.8,28.6,62.2,125,0
331.7,30.1,80.4,917,0
7.6,30.9,84.0,159,0
13.1,29.2,81.8,1040,1
339.6,28.4,98.0,794,0
73.9,27.4,78.1,1022,1
0.0,29.7,71.2,61,0
12.9,28.8,82.3,1315,1
41.5,25.5,72.9,174,0
118.5,30.5,85.4,940,1
174.2,24.3,69.0,519,0
4.6,26.3,59.8,238,0
7.6,27.2,67.4,3,1
0.0,27.7,76.0,211,0
0.0,30.2,63.9,1,0
375.7,28.4,90.1,825,0
3.7,28.5,63.2,1228,1
69.8,30.3,77.0,901,1
0.0,30.8,76.3,1173,1
0.0,31.4,65.8,1406,1
0.0,24.0,74.5,479,1
3.8,22.8,70.7,413,1
7.7,27.2,54.3,158,0
183.7,28.2,79.8,1003,0
0.0,28.9,53.3,37,0
125.3,27.2,79.6,917,1
402.8,26.0,83.3,695,0
3.0,29.7,86.4,1098,1
8.0,33.0,59.5,1286,1
18.8,38.0,70.2,1364,1
0.3,31.3,69.3,1279,1
358.8,23.8,76.2,800,0
1.0,29.4,72.9,322,0
0.0,25.9,61.8,329,0
157.9,25.7,85.5,744,0
26.5,30.7,73.3,1110,1
0.0,29.8,75.0,1286,1
108.9,23.5,71.9,453,1
0.0,27.5,47.6,67,0
0.0,30.5,65.4,1218,1
55.1,31.2,70.0,40,0
360.1,29.9,84.8,865,0
7.9,29.5,60.4,27,0
0.0,27.0,79.7,243,1
275.8,33.2,79.8,930,0
0.0,29.8,81.3,1095,1
4.9,23.7,68.1,230,0
0.0,29.7,71.7,129,0
216.7,28.5,86.2,997,0
204.8,28.9,90.7,1007,1
118.1,25.4,78.4,669,1
397.8,29.4,89.2,824,1
66.0,32.3,60.2,1208,1
0.0,22.0,76.9,338,0
27.2,28.7,52.8,155,0
136.9,24.5,95.4,530,1
16.9,24.3,72.7,297,0
0.0,27.4,67.1,1415,1
191.9,29.2,66.8,978,0
172.4,22.4,92.8,839,0
0.0,28.4,80.0,1218,1
0.0,25.3,64.5,131,0
54.1,27.5,61.5,12,0
0.0,33.6,69.4,1164,1
0.0,31.7,83.8,1235,1
4.0,32.2,65.6,1344,1
4.8,30.4,66.3,27,0
15.7,24.9,73.9,161,0
45.4,29.7,58.1,1072,1
317.3,23.7,81.4,578,0
18.1,31.6,65.7,1289,1
0.0,29.0,67.6,124,0
0.0,26.0,84.0,436,1
390.9,27.7,92.5,797,0
47.7,34.4,63.5,1422,1
66.0,31.7,76.4,1066,1
314.9,26.9,83.9,860,0
12.9,34.4,74.0,1281,1
14.6,29.0,75.5,1358,1
40.6,30.1,54.1,109,0
162.4,23.8,85.1,597,0
15.7,27.3,63.7,116,0
52.2,30.4,96.4,965,1
76.6,23.6,68.8,469,0
0.0,26.3,55.7,15,0
230.9,24.4,75.3,481,0
331.4,22.5,88.4,650,0
32.6,32.1,72.8,1260,1
67.4,28.8,77.7,956,0
8.6,25.4,83.1,389,1
90.6,22.0,78.6,597,1
22.7,29.5,73.2,1362,1
0.0,28.2,55.2,171,1
127.5,36.6,69.9,1056,1
0.0,31.1,62.0,1427,1
159.2,25.1,84.5,742,0
24.2,26.3,68.3,360,1
1.3,25.8,61.1,198,0
161.7,26.9,88.6,765,1
26.4,32.0,79.0,1142,1
5.8,32.1,58.8,1,0
56.0,25.5,66.9,475,1
369.2,26.0,85.4,816,1
55.4,26.0,85.8,916,1
147.0,24.8,76.3,807,1
168.7,25.8,98.0,677,0
3.7,31.4,68.0,1112,1
45.7,31.5,64.2,1334,1
384.9,28.5,81.7,861,0
8.7,27.4,58.8,100,0
0.0,28.8,79.9,86,0
23.1,31.4,58.9,1374,1
0.0,29.0,81.8,1296,1
26.4,30.2,72.6,1111,1
12.6,32.6,65.5,1319,1
22.4,33.3,62.7,1304,1
95.1,28.4,85.5,978,1
74.0,32.9,88.3,1167,1
128.8,22.9,77.6,567,1
0.0,23.4,70.0,355,0
378.5,31.8,95.4,849,0
0.0,31.0,59.0,1279,1
178.9,22.0,77.4,624,0
54.2,25.1,81.0,260,0
24.7,29.5,68.4,13,0
65.2,26.0,70.7,441,1
0.0,31.3,75.0,1252,0
426.6,25.9,72.3,685,0
446.3,27.3,93.3,703,0
4.0,24.8,54.3,250,0
0.0,25.1,66.8,414,1
0.0,26.8,70.9,186,0
0.0,25.6,62.3,316,0
167.0,26.2,85.1,737,0
23.8,32.2,76.9,1146,1
93.9,27.4,77.8,895,1
26.7,28.1,65.4,139,0
43.5,30.9,73.0,1357,1
122.4,28.8,81.2,430,1
51.2,33.1,84.6,1183,1
293.5,29.0,75.4,957,0
411.0,25.3,77.0,735,0
113.9,32.8,88.1,1070,1
323.6,22.5,85.1,594,0
16.1,28.9,73.0,1106,1
184.1,27.3,75.3,1010,0
17.1,33.4,71.9,1390,0
13.0,34.0,71.9,1095,1
0.0,31.8,72.6,1342,1
33.7,24.9,80.1,299,1
10.7,30.9,70.8,1258,1
22.6,35.5,55.5,1331,1
215.3,23.8,84.5,538,0
364.6,25.9,93.5,699,0
0.0,31.1,79.6,1202,1
0.0,30.2,66.3,1,0
0.1,30.8,51.3,59,0
394.2,31.6,80.0,877,1
0.0,28.9,61.4,107,0
18.0,32.9,74.8,1311,1
309.0,28.3,85.4,923,0
92.8,24.5,84.8,448,1
387.6,26.7,79.6,766,0
36.8,31.6,71.7,1245,1
20.9,30.5,46.6,33,0
96.2,27.6,78.8,919,1
0.0,25.5,63.1,377,1
2.9,26.1,83.9,253,0
16.3,30.8,71.7,1277,1
44.2,31.2,69.7,1321,1
17.4,30.6,56.5,120,0
125.0,25.0,83.6,679,1
89.5,29.9,87.4,933,1
9.3,32.3,68.0,1120,1
7.9,27.2,66.3,280,0
0.0,29.7,76.8,1307,1
418.0,24.9,76.1,790,0
0.0,24.5,66.5,266,0
356.5,29.2,77.1,862,0
33.6,30.5,82.7,997,1
412.8,27.4,90.9,823,0
0.0,31.6,85.3,1142,1
25.0,23.4,73.2,251,0
142.8,24.0,94.6,689,1
322.6,29.5,85.0,930,1
226.9,28.7,71.1,922,0
27.3,32.4,70.3,1200,1
0.0,22.0,75.4,400,1
12.3,26.9,76.5,199,0
22.2,25.8,64.2,53,0
0.0,23.4,67.0,245,0
30.0,29.5,59.5,1330,1
294.7,22.0,80.0,574,1
5.0,30.3,67.2,1263,1
13.4,26.6,74.8,268,0
6.8,29.3,61.4,238,0
27.3,28.0,84.1,69,0
0.0,30.6,65.2,1190,1
138.2,23.9,71.8,568,1
17.2,30.9,79.1,1117,1
0.0,28.0,54.8,0,0
64.3,31.9,65.5,1419,1
16.2,25.4,64.5,247,0
165.9,24.7,90.2,776,0
21.0,25.8,69.2,217,0
110.0,33.7,91.2,916,1
37.0,32.4,68.7,1398,1
282.2,28.4,82.5,932,0
28.0,26.6,68.0,1334,1
0.0,25.6,57.6,104,0
26.1,30.2,74.4,990,1
14.7,31.3,74.2,1160,1
0.0,28.5,70.1,1382,1
380.6,24.9,82.1,661,0
33.3,29.3,75.9,1054,1
51.9,26.7,63.2,160,0
8.0,29.7,68.0,58,1
43.9,28.0,65.0,15,1
0.0,28.7,80.0,1135,1
349.4,22.0,78.7,644,0
15.5,25.2,69.6,290,0
158.6,22.0,96.7,718,0
15.1,32.4,82.6,169,0
0.0,31.9,63.1,20,0
19.0,31.4,75.5,11,0
78.2,22.4,87.7,447,1
94.6,22.4,88.6,551,1
346.9,22.0,69.4,632,0
375.8,28.8,73.3,679,0
151.2,28.7,80.9,759,0
188.3,26.5,80.7,708,0
381.7,26.7,77.4,800,0
0.0,28.3,69.8,119,0
0.0,32.5,79.9,1131,1
8.1,34.0,91.9,1073,1
5.9,29.3,61.5,158,0
23.4,29.2,61.1,1360,1
89.4,28.5,81.5,1008,1
104.6,25.1,67.3,478,1
300.9,22.4,97.0,581,0
0.0,28.1,62.5,95,0
1.2,34.5,74.4,1101,1
121.9,23.4,81.1,505,1
0.0,22.0,73.8,366,1
21.2,32.7,65.7,186,0
22.2,34.2,88.8,1207,1
80.8,30.7,78.3,1045,1
420.6,26.0,88.9,743,0
328.2,22.0,79.7,623,0
13.1,30.0,70.3,1419,1
0.0,25.5,68.2,227,0
11.5,32.2,72.0,1211,1
10.3,30.2,71.7,226,0
116.5,25.0,89.1,547,1
13.1,30.1,75.6,293,0
64.1,22.0,79.8,488,1
0.0,27.7,65.4,1382,1
6.7,30.5,57.4,173,0
233.1,30.2,78.6,980,0
22.3,28.9,67.2,150,0
126.6,29.0,89.4,947,1
0.0,27.4,49.0,226,0
47.0,32.2,80.1,1043,1
55.1,30.5,73.8,963,1
0.0,23.4,81.2,379,1
12.7,35.5,76.0,1395,1
0.0,31.7,66.0,1329,1
61.7,25.6,81.5,282,0
114.5,24.5,91.6,685,1
136.7,30.7,81.1,988,1
0.0,31.0,53.5,1324,1
374.5,22.0,88.1,730,0
0.0,31.0,59.7,1348,1
0.0,25.8,45.0,164,1
181.8,24.5,71.2,494,0
188.9,29.9,90.8,965,0
202.8,28.7,81.0,1007,0
0.0,33.7,82.2,1154,1
138.4,28.9,94.7,942,1
42.8,31.1,70.1,1279,1
101.7,25.3,80.4,753,1
55.7,30.7,66.6,1139,1
223.2,31.0,79.5,1019,0
11.3,25.4,60.8,181,1
369.1,25.3,75.6,703,0
205.0,23.0,74.8,495,0
26.9,30.2,72.9,1098,1
464.7,26.1,82.7,693,0
265.8,22.1,79.3,528,0
0.0,25.6,78.4,373,1
380.1,27.6,83.2,803,0
8.5,34.5,78.4,1167,1
40.3,27.9,80.7,1127,1
343.9,30.0,91.7,871,0
90.5,28.4,81.1,936,0
8.9,28.4,60.1,1209,1
0.0,24.7,68.1,288,0
37.1,29.0,58.6,164,0
226.2,25.0,91.0,707,0
27.8,34.6,60.6,1148,1
30.8,31.3,72.7,1223,1
39.0,26.9,69.5,215,0
18.8,31.6,75.9,1255,1
0.0,29.4,68.5,1348,1
273.8,29.0,81.7,959,0
32.9,24.1,66.3,388,0
408.7,26.2,98.0,777,0
0.0,32.1,69.6,1247,1
152.4,24.1,79.3,562,0
0.0,24.7,75.9,386,1
120.7,29.2,93.7,810,1
0.0,24.0,68.0,282,0
14.5,26.6,75.5,126,0
35.5,34.3,68.0,1368,0
354.1,27.1,89.5,653,0
329.7,25.1,85.7,644,0
17.2,34.9,83.0,1023,1
369.5,29.0,90.7,853,0
151.8,28.9,88.1,701,0
90.2,26.9,92.8,521,1
108.9,27.4,81.1,549,1
163.5,22.9,94.1,718,1
211.7,31.3,75.0,1003,0
81.9,25.0,75.7,333,0
12.1,22.0,68.4,385,1
374.7,29.6,78.2,802,0
405.3,28.4,95.5,728,0
75.0,23.8,94.3,456,1
254.1,22.9,80.8,547,0
237.5,24.1,71.9,532,0
50.5,27.2,77.5,1033,1
37.3,26.3,59.2,66,0
0.0,25.4,80.4,246,0
0.0,27.2,74.8,248,0
12.0,24.8,77.1,302,1
0.0,30.4,74.1,1093,1
0.0,22.5,71.8,436,0
250.5,33.9,90.5,949,1
150.4,23.9,84.1,763,0
15.9,26.3,56.7,21,0
51.9,30.7,80.3,1305,1
0.0,32.9,92.2,1165,1
170.0,30.2,81.3,1017,0
0.0,23.0,77.9,387,1
417.2,26.4,98.0,764,0
7.1,29.2,65.5,193,0
0.0,27.4,76.9,188,0
0.0,25.5,67.8,350,0
0.0,31.8,78.8,1105,1
384.3,23.7,76.9,661,0
0.0,32.8,65.9,1270,1
5.3,26.6,61.7,376,1
71.8,26.8,86.0,573,1
1.5,32.3,78.2,1098,1
0.0,24.6,66.8,398,1
12.7,31.8,83.9,137,0
436.3,26.2,85.6,732,0
388.9,25.0,83.9,724,0
103.5,29.5,69.8,1069,1
0.0,30.3,78.7,1162,1
162.7,23.1,70.4,477,0
24.2,27.9,86.1,535,1
0.0,23.0,68.0,383,1
0.0,33.1,68.5,28,0
0.0,27.6,64.8,167,0
452.1,28.1,91.3,766,0
234.3,27.8,69.6,967,0
36.5,30.8,69.0,1405,1
0.0,26.8,57.2,14,1
53.0,25.2,67.2,356,0
8.0,33.6,74.6,1200,0
25.1,27.1,72.8,327,0
465.8,25.2,87.6,708,0
192.7,25.3,91.0,766,0
158.0,26.2,86.3,765,0
153.9,26.9,82.6,853,0
47.0,30.9,62.0,1241,1
301.5,28.2,98.0,933,0
26.6,32.3,72.3,1318,1
41.6,34.9,70.0,1230,1
422.3,27.1,81.1,605,0
0.0,25.4,71.7,288,0
24.5,25.3,67.9,184,0
16.4,26.5,70.6,150,0
0.0,28.5,70.4,1116,1
0.0,33.3,85.8,1154,1
153.1,28.0,83.1,1034,0
315.7,23.5,69.2,891,0
37.7,25.5,82.3,522,1
183.1,31.4,86.4,964,0
332.9,24.8,74.1,807,0
113.2,28.6,92.5,872,1
0.0,27.4,70.0,10,0
3.0,31.8,59.5,1242,1
46.1,32.6,66.5,1265,1
0.0,33.3,58.8,1282,1
28.6,28.8,73.0,159,0
135.7,25.2,73.9,901,0
0.0,32.1,58.9,1334,1
122.0,28.9,84.3,622,1
143.3,26.0,98.0,681,1
124.6,22.0,91.8,548,1
130.2,27.6,74.2,946,1
51.3,23.1,67.8,459,1
0.0,22.0,67.7,329,0
135.5,25.4,73.4,675,0
0.0,30.1,71.6,1438,1
9.2,31.4,75.3,1245,1
30.4,23.9,84.9,466,1
23.9,25.5,68.3,231,0
124.4,25.8,78.5,449,1
93.5,31.2,69.1,1064,1
14.1,24.9,72.2,248,0
193.5,24.9,90.1,480,0
0.0,27.7,64.5,238,0
0.0,30.0,71.2,1297,1
131.9,29.7,80.5,967,1
68.1,23.7,75.7,538,1
0.0,28.8,69.1,58,0
0.0,29.3,84.5,1251,1
26.5,30.6,83.4,1157,1
415.8,28.5,78.3,746,0
129.7,27.7,83.0,917,1
420.7,27.8,90.9,751,0
154.5,26.9,85.3,837,0
0.0,28.3,56.1,168,1
31.7,22.7,66.4,331,0
123.5,33.2,82.6,1072,1
30.8,35.6,90.4,1127,1
0.5,24.6,64.8,284,0
316.8,30.6,76.0,893,0
7.5,26.5,74.4,95,0
265.5,24.0,83.9,575,0
20.1,28.5,62.2,1400,1
112.2,31.6,76.0,1065,1
161.5,25.6,83.9,751,0
0.0,25.9,76.0,270,0
35.2,34.1,68.2,1356,1
37.4,33.3,53.1,1395,1
0.0,29.7,64.0,45,0
0.0,34.1,82.6,1305,1
7.8,32.3,73.9,13,0
77.0,33.0,87.6,1076,1
100.7,28.3,77.0,863,1
214.1,30.7,82.9,984,0
113.9,24.0,91.3,645,1
0.0,36.7,70.6,1250,1
35.6,32.7,77.4,1294,1
219.5,29.8,73.1,976,0
155.4,27.0,86.7,765,0
29.6,30.5,60.3,41,0
23.5,33.2,77.2,104,0
155.4,24.0,79.6,533,0
4.3,29.5,64.7,123,0
49.6,29.8,55.9,10,0
17.0,28.6,76.6,1246,1
204.4,29.0,85.6,914,0
0.0,33.2,66.2,1349,1
30.6,25.4,77.2,323,0
63.3,27.7,88.6,961,0
36.0,29.2,71.6,282,0
62.8,23.6,73.6,273,0
0.0,23.6,76.7,322,0
0.0,25.7,52.3,150,0
0.0,29.9,73.8,1236,1
31.5,31.6,53.2,1332,1
0.0,27.2,70.1,272,0
0.0,30.8,74.5,1206,1
0.0,27.1,55.4,271,0
269.9,25.7,82.5,546,0
261.6,23.5,79.2,581,0
0.0,28.4,73.0,1117,1
54.8,33.0,86.2,1011,1
23.9,30.7,85.2,1243,1
426.8,22.5,90.5,792,0
196.8,23.2,80.2,503,0
387.4,28.1,73.9,807,0
10.4,31.5,75.9,31,0
58.9,29.2,73.7,1122,0
369.7,22.3,71.5,737,0
122.1,26.6,75.8,753,1
4.4,28.0,57.8,227,0
18.5,32.2,56.1,33,1
79.0,32.0,88.1,1010,1
0.5,24.4,79.2,457,1
28.3,27.2,69.7,60,0
37.3,23.2,55.2,462,1
16.6,24.0,81.1,409,1
48.1,27.2,70.4,101,0
0.0,34.0,53.6,1290,1
0.0,33.9,58.0,1309,1
19.1,25.2,75.4,179,0
0.0,30.2,72.8,1020,1
142.6,29.3,92.7,710,1
0.0,32.3,65.1,15,0
15.0,32.2,63.8,1317,1
366.4,27.4,83.5,698,0
18.7,29.3,54.1,254,0
168.0,30.2,83.0,992,0
245.6,26.3,72.5,922,1
139.1,29.7,69.0,892,1
6.9,33.3,54.5,1360,1
147.4,26.0,76.4,873,1
54.3,26.5,74.7,256,1
40.9,30.4,63.6,1224,1
168.1,23.7,90.7,835,0
26.5,29.5,72.4,101,0
354.3,27.4,91.4,605,0
35.4,32.1,89.7,1110,1
10.9,24.9,78.8,364,1
0.0,22.5,77.1,339,0
0.0,30.3,60.2,99,0
38.3,24.1,53.9,329,0
35.9,29.3,80.2,1024,0
66.3,30.8,54.4,71,0
8.3,28.4,66.4,1026,1
384.0,27.6,74.3,884,0
0.0,29.2,80.2,1092,1
17.0,28.4,73.1,108,0
0.0,27.5,73.7,1143,1
0.0,26.3,63.5,349,0
45.4,30.8,62.7,41,0
0.0,35.2,76.6,1382,1
168.1,28.5,81.5,851,1
0.0,29.7,62.3,1320,1
142.7,26.1,92.9,566,1
0.0,33.4,93.2,1122,1
43.7,32.6,77.4,1009,1
23.4,22.1,57.0,252,0
33.4,25.6,68.5,196,1
302.1,22.3,79.4,547,0
1.1,33.9,77.2,1411,1
147.5,31.6,69.7,979,1
250.8,26.4,74.7,590,0
58.9,27.8,77.0,976,1
0.0,32.1,78.0,1173,1
40.5,27.6,56.9,1414,1
4.1,23.8,78.6,274,0
0.0,29.3,61.4,97,1
0.0,25.6,60.3,341,0
0.0,32.8,63.2,1223,1
0.0,27.7,54.4,113,0
410.7,26.9,74.7,737,0
302.8,24.5,98.0,649,0
97.1,27.7,84.8,645,1
126.7,28.2,90.6,947,1
386.4,22.0,80.4,638,1
0.0,32.7,79.9,1112,1
115.5,28.7,77.2,888,1
36.1,29.7,80.0,1342,0
31.6,30.8,64.3,1344,1
255.1,29.4,75.3,936,0
173.4,23.8,73.5,626,0
6.9,29.6,58.8,1260,1
302.6,28.6,71.9,920,0
20.3,25.9,91.4,478,1
16.9,26.2,66.2,228,0
6.4,24.6,75.3,429,1
0.0,26.6,94.3,210,0
0.0,28.4,77.5,1423,1
5.2,27.8,56.3,144,0
74.3,27.1,77.1,139,0
